gene,gene_symbol,gene_label,source_logreg,source_shap,in_logreg,in_shap
1556007_s_at,CSNK1A1,CSNK1A1,,shap,False,True
1558732_at,MAP4K4,MAP4K4,,shap,False,True
1569302_at,KIAA1731,KIAA1731,,shap,False,True
200039_s_at,PSMB2,PSMB2,,shap,False,True
200629_at,WARS,WARS,,shap,False,True
201632_at,EIF2B1,EIF2B1,,shap,False,True
201635_s_at,FXR1,FXR1,,shap,False,True
201704_at,ENTPD6,ENTPD6,,shap,False,True
202041_s_at,FIBP,FIBP,,shap,False,True
202074_s_at,OPTN,OPTN,,shap,False,True
202433_at,SLC35B1,SLC35B1,,shap,False,True
202517_at,CRMP1,CRMP1,,shap,False,True
203146_s_at,GABBR1,GABBR1,,shap,False,True
203266_s_at,MAP2K4,MAP2K4,,shap,False,True
204270_at,SKI,SKI,,shap,False,True
206652_at,ZMYM5,ZMYM5,,shap,False,True
207084_at,POU3F2,POU3F2,,shap,False,True
209159_s_at,NDRG4,NDRG4,,shap,False,True
209268_at,VPS45,VPS45,,shap,False,True
210976_s_at,PFKM,PFKM,,shap,False,True
211752_s_at,NDUFS7,NDUFS7,,shap,False,True
211921_x_at,LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA,LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA,,shap,False,True
211993_at,WNK1,WNK1,,shap,False,True
212361_s_at,ATP2A2,ATP2A2,,shap,False,True
212923_s_at,PXDC1,PXDC1,,shap,False,True
213045_at,MAST3,MAST3,,shap,False,True
217786_at,PRMT5,PRMT5,,shap,False,True
218377_s_at,RWDD2B,RWDD2B,,shap,False,True
218953_s_at,PCYOX1L,PCYOX1L,,shap,False,True
219549_s_at,RTN3,RTN3,,shap,False,True
220615_s_at,FAR2,FAR2,,shap,False,True
222125_s_at,P4HTM,P4HTM,,shap,False,True
223134_at,BBX,BBX,,shap,False,True
223206_s_at,NMRAL1,NMRAL1,,shap,False,True
224689_at,MANBAL,MANBAL,,shap,False,True
225239_at,MIR612|NEAT1,MIR612|NEAT1,,shap,False,True
225507_at,PNISR,PNISR,,shap,False,True
225571_at,LIFR,LIFR,,shap,False,True
227582_at,KLHDC9,KLHDC9,,shap,False,True
230296_at,C16orf52|LOC101930115|VWA3A,C16orf52|LOC101930115|VWA3A,,shap,False,True
231735_s_at,MALAT1,MALAT1,,shap,False,True
234562_x_at,,234562_x_at,,shap,False,True
238558_at,,238558_at,,shap,False,True
238642_at,ANKRD13D,ANKRD13D,,shap,False,True
242712_x_at,RANBP2|RGPD1|RGPD2|RGPD3|RGPD4|RGPD5|RGPD6|RGPD8,RANBP2|RGPD1|RGPD2|RGPD3|RGPD4|RGPD5|RGPD6|RGPD8,,shap,False,True
242829_x_at,,242829_x_at,,shap,False,True
243648_at,ZBED6,ZBED6,,shap,False,True
244197_x_at,,244197_x_at,,shap,False,True
244778_x_at,,244778_x_at,,shap,False,True
