gene,gene_display,gene_symbol,gene_label,source_logreg,source_shap,in_logreg,in_shap
1316_at,THRA (1316_at),THRA,THRA,logreg,,True,False
215811_at,215811_at,,215811_at,logreg,,True,False
215991_s_at,EMC1 (215991_s_at),EMC1,EMC1,logreg,,True,False
216101_at,216101_at,,216101_at,logreg,,True,False
216232_s_at,GCN1L1 (216232_s_at),GCN1L1,GCN1L1,logreg,,True,False
217546_at,MT1M (217546_at),MT1M,MT1M,logreg,,True,False
217941_s_at,ERBB2IP (217941_s_at),ERBB2IP,ERBB2IP,logreg,,True,False
218204_s_at,FYCO1 (218204_s_at),FYCO1,FYCO1,logreg,,True,False
218251_at,MID1IP1 (218251_at),MID1IP1,MID1IP1,logreg,,True,False
218263_s_at,ZBED5 (218263_s_at),ZBED5,ZBED5,logreg,,True,False
218310_at,KCTD7|RABGEF1 (218310_at),KCTD7|RABGEF1,KCTD7|RABGEF1,logreg,,True,False
218653_at,SLC25A15 (218653_at),SLC25A15,SLC25A15,logreg,,True,False
218735_s_at,ZNF544 (218735_s_at),ZNF544,ZNF544,logreg,,True,False
218763_at,STX18 (218763_at),STX18,STX18,logreg,,True,False
219097_x_at,SMIM7 (219097_x_at),SMIM7,SMIM7,logreg,,True,False
219193_at,WDR70 (219193_at),WDR70,WDR70,logreg,,True,False
219255_x_at,IL17RB (219255_x_at),IL17RB,IL17RB,logreg,,True,False
219445_at,GLTSCR1 (219445_at),GLTSCR1,GLTSCR1,logreg,,True,False
219463_at,LAMP5 (219463_at),LAMP5,LAMP5,logreg,,True,False
219543_at,PBLD (219543_at),PBLD,PBLD,logreg,,True,False
219833_s_at,EFHC1 (219833_s_at),EFHC1,EFHC1,logreg,,True,False
220040_x_at,ZC4H2 (220040_x_at),ZC4H2,ZC4H2,logreg,,True,False
220155_s_at,BRD9 (220155_s_at),BRD9,BRD9,logreg,,True,False
220329_s_at,RMND1 (220329_s_at),RMND1,RMND1,logreg,,True,False
221899_at,N4BP2L2 (221899_at),N4BP2L2,N4BP2L2,logreg,,True,False
222264_at,HNRNPUL2 (222264_at),HNRNPUL2,HNRNPUL2,logreg,,True,False
222282_at,222282_at,,222282_at,logreg,,True,False
222409_at,CORO1C (222409_at),CORO1C,CORO1C,logreg,,True,False
222513_s_at,SORBS1 (222513_s_at),SORBS1,SORBS1,logreg,,True,False
222548_s_at,MAP4K4 (222548_s_at),MAP4K4,MAP4K4,logreg,,True,False
222614_at,222614_at,,222614_at,logreg,,True,False
222759_at,SUV420H1 (222759_at),SUV420H1,SUV420H1,logreg,,True,False
222809_x_at,CCDC85C (222809_x_at),CCDC85C,CCDC85C,logreg,,True,False
222902_s_at,EXO5 (222902_s_at),EXO5,EXO5,logreg,,True,False
222983_s_at,PAIP2 (222983_s_at),PAIP2,PAIP2,logreg,,True,False
222997_s_at,MRPS21 (222997_s_at),MRPS21,MRPS21,logreg,,True,False
223002_s_at,XRN2 (223002_s_at),XRN2,XRN2,logreg,,True,False
223011_s_at,OCIAD1 (223011_s_at),OCIAD1,OCIAD1,logreg,,True,False
223082_at,SH3KBP1 (223082_at),SH3KBP1,SH3KBP1,logreg,,True,False
223124_s_at,PITHD1 (223124_s_at),PITHD1,PITHD1,logreg,,True,False
223211_at,HACL1 (223211_at),HACL1,HACL1,logreg,,True,False
223219_s_at,CNOT10 (223219_s_at),CNOT10,CNOT10,logreg,,True,False
223319_at,GPHN (223319_at),GPHN,GPHN,logreg,,True,False
223450_s_at,COG3 (223450_s_at),COG3,COG3,logreg,,True,False
223650_s_at,NRBF2 (223650_s_at),NRBF2,NRBF2,logreg,,True,False
223701_s_at,USP47 (223701_s_at),USP47,USP47,logreg,,True,False
223964_x_at,223964_x_at,,223964_x_at,logreg,,True,False
224156_x_at,IL17RB (224156_x_at),IL17RB,IL17RB,logreg,,True,False
224280_s_at,MTFR1L (224280_s_at),MTFR1L,MTFR1L,logreg,,True,False
224331_s_at,MRPL36 (224331_s_at),MRPL36,MRPL36,logreg,,True,False
224366_s_at,REPS1 (224366_s_at),REPS1,REPS1,logreg,,True,False
224368_s_at,NDRG3 (224368_s_at),NDRG3,NDRG3,logreg,,True,False
224410_s_at,LMBR1 (224410_s_at),LMBR1,LMBR1,logreg,,True,False
224414_s_at,CARD6 (224414_s_at),CARD6,CARD6,logreg,,True,False
224726_at,MIB1 (224726_at),MIB1,MIB1,logreg,,True,False
224774_s_at,NAV1 (224774_s_at),NAV1,NAV1,logreg,,True,False
225044_at,NT5C3B (225044_at),NT5C3B,NT5C3B,logreg,,True,False
225063_at,UBL7 (225063_at),UBL7,UBL7,logreg,,True,False
225234_at,CBL (225234_at),CBL,CBL,logreg,,True,False
225237_s_at,MSI2 (225237_s_at),MSI2,MSI2,logreg,,True,False
225368_at,HIPK2 (225368_at),HIPK2,HIPK2,logreg,,True,False
225489_at,TMEM18 (225489_at),TMEM18,TMEM18,logreg,,True,False
225493_at,CCNT1 (225493_at),CCNT1,CCNT1,logreg,,True,False
225719_s_at,MRPL55 (225719_s_at),MRPL55,MRPL55,logreg,,True,False
225733_at,B3GALT6 (225733_at),B3GALT6,B3GALT6,logreg,,True,False
225741_at,THUMPD3 (225741_at),THUMPD3,THUMPD3,logreg,,True,False
225742_at,MDM4 (225742_at),MDM4,MDM4,logreg,,True,False
226360_at,ZNRF3 (226360_at),ZNRF3,ZNRF3,logreg,,True,False
226428_at,TNPO2 (226428_at),TNPO2,TNPO2,logreg,,True,False
226648_at,HIF1AN (226648_at),HIF1AN,HIF1AN,logreg,,True,False
226876_at,FAM101B (226876_at),FAM101B,FAM101B,logreg,,True,False
226879_at,HVCN1 (226879_at),HVCN1,HVCN1,logreg,,True,False
227051_at,BACE2 (227051_at),BACE2,BACE2,logreg,,True,False
227068_at,PGK1 (227068_at),PGK1,PGK1,logreg,,True,False
227084_at,DTNA (227084_at),DTNA,DTNA,logreg,,True,False
227260_at,227260_at,,227260_at,logreg,,True,False
227321_at,GATS (227321_at),GATS,GATS,logreg,,True,False
227365_at,ATCAY (227365_at),ATCAY,ATCAY,logreg,,True,False
227404_s_at,EGR1 (227404_s_at),EGR1,EGR1,logreg,,True,False
227730_at,DYM (227730_at),DYM,DYM,logreg,,True,False
227847_at,EPM2AIP1 (227847_at),EPM2AIP1,EPM2AIP1,logreg,,True,False
227959_at,ANKRD9 (227959_at),ANKRD9,ANKRD9,logreg,,True,False
228059_x_at,MRPS22 (228059_x_at),MRPS22,MRPS22,logreg,,True,False
228556_at,YTHDC1 (228556_at),YTHDC1,YTHDC1,logreg,,True,False
228581_at,KCNJ10 (228581_at),KCNJ10,KCNJ10,logreg,,True,False
228686_at,LINC01184|LOC101929964 (228686_at),LINC01184|LOC101929964,LINC01184|LOC101929964,logreg,,True,False
228774_at,CEP78 (228774_at),CEP78,CEP78,logreg,,True,False
238468_at,TNRC6B (238468_at),TNRC6B,TNRC6B,logreg,,True,False
241008_at,241008_at,,241008_at,logreg,,True,False
241216_at,241216_at,,241216_at,logreg,,True,False
241762_at,FBXO32 (241762_at),FBXO32,FBXO32,logreg,,True,False
242299_at,242299_at,,242299_at,logreg,,True,False
242320_at,242320_at,,242320_at,logreg,,True,False
