gene,gene_display,gene_symbol,gene_label,source_logreg,source_shap,in_logreg_top20,in_shap_top20
1558732_at,MAP4K4 (1558732_at),MAP4K4,MAP4K4,,shap,False,True
200039_s_at,PSMB2 (200039_s_at),PSMB2,PSMB2,,shap,False,True
200629_at,WARS (200629_at),WARS,WARS,,shap,False,True
202517_at,CRMP1 (202517_at),CRMP1,CRMP1,,shap,False,True
203146_s_at,GABBR1 (203146_s_at),GABBR1,GABBR1,,shap,False,True
209159_s_at,NDRG4 (209159_s_at),NDRG4,NDRG4,,shap,False,True
210976_s_at,PFKM (210976_s_at),PFKM,PFKM,,shap,False,True
211752_s_at,NDUFS7 (211752_s_at),NDUFS7,NDUFS7,,shap,False,True
211993_at,WNK1 (211993_at),WNK1,WNK1,,shap,False,True
212923_s_at,PXDC1 (212923_s_at),PXDC1,PXDC1,,shap,False,True
213045_at,MAST3 (213045_at),MAST3,MAST3,,shap,False,True
218953_s_at,PCYOX1L (218953_s_at),PCYOX1L,PCYOX1L,,shap,False,True
222125_s_at,P4HTM (222125_s_at),P4HTM,P4HTM,,shap,False,True
223206_s_at,NMRAL1 (223206_s_at),NMRAL1,NMRAL1,,shap,False,True
224689_at,MANBAL (224689_at),MANBAL,MANBAL,,shap,False,True
230296_at,C16orf52|LOC101930115|VWA3A (230296_at),C16orf52|LOC101930115|VWA3A,C16orf52|LOC101930115|VWA3A,,shap,False,True
231735_s_at,MALAT1 (231735_s_at),MALAT1,MALAT1,,shap,False,True
234562_x_at,234562_x_at,,234562_x_at,,shap,False,True
238558_at,238558_at,,238558_at,,shap,False,True
242829_x_at,242829_x_at,,242829_x_at,,shap,False,True
