gene,gene_display,gene_symbol,gene_label,coeficiente,odds_ratio,abs_coef
214857_at,RPARP-AS1 (214857_at),RPARP-AS1,RPARP-AS1,0.1250027604243646,1.1331515810417423,0.1250027604243646
229715_at,NCR3LG1|RP1-239B22.5 (229715_at),NCR3LG1|RP1-239B22.5,NCR3LG1|RP1-239B22.5,0.1073697142343457,1.1133457981871933,0.1073697142343457
242299_at,242299_at,,242299_at,0.1038778718513677,1.1094649497409688,0.1038778718513677
222809_x_at,CCDC85C (222809_x_at),CCDC85C,CCDC85C,-0.0985704774472885,0.9061318285056276,0.0985704774472885
1561778_at,1561778_at,,1561778_at,-0.0979282393482619,0.9067139678046432,0.0979282393482619
212162_at,KIDINS220 (212162_at),KIDINS220,KIDINS220,-0.0951600308209702,0.9092274184147976,0.0951600308209702
236901_at,236901_at,,236901_at,-0.0951430592620024,0.9092428495524894,0.0951430592620024
1556244_s_at,LOC375196 (1556244_s_at),LOC375196,LOC375196,0.0899829127032466,1.09415558738426,0.0899829127032466
1559394_a_at,1559394_a_at,,1559394_a_at,-0.0877306628591519,0.9160075583583348,0.0877306628591519
234677_at,RP11-338N10.1 (234677_at),RP11-338N10.1,RP11-338N10.1,-0.087656390905621,0.9160755945557024,0.087656390905621
241762_at,FBXO32 (241762_at),FBXO32,FBXO32,0.0874688615991813,1.0914082792053768,0.0874688615991813
1562935_at,1562935_at,,1562935_at,-0.0867819456013105,0.9168770029005704,0.0867819456013105
1553126_a_at,SLC39A12 (1553126_a_at),SLC39A12,SLC39A12,-0.0853014679860758,0.9182354240872505,0.0853014679860758
214577_at,MAP1B (214577_at),MAP1B,MAP1B,-0.0837973713631043,0.9196175780737132,0.0837973713631043
234314_at,RALGAPA2 (234314_at),RALGAPA2,RALGAPA2,-0.0835030839893554,0.9198882497412916,0.0835030839893554
242320_at,242320_at,,242320_at,0.0820587811552879,1.0855196160513485,0.0820587811552879
227959_at,ANKRD9 (227959_at),ANKRD9,ANKRD9,-0.0799894895675479,0.923126048789628,0.0799894895675479
229677_at,SLC39A3 (229677_at),SLC39A3,SLC39A3,0.0799653747382573,1.0832495592260716,0.0799653747382573
222264_at,HNRNPUL2 (222264_at),HNRNPUL2,HNRNPUL2,0.0770692665742551,1.0801168897982878,0.0770692665742551
211921_x_at,LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA (211921_x_at),LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA,LOC100506248|LOC728026|MIR1244-1|MIR1244-2|MIR1244-3|PTMA,-0.0770626625635754,0.92583183679244,0.0770626625635754
