gene,coeficiente,odds_ratio,abs_coef
214857_at,0.12500276042436465,1.1331515810417423,0.12500276042436465
229715_at,0.10736971423434574,1.1133457981871933,0.10736971423434574
242299_at,0.10387787185136775,1.1094649497409688,0.10387787185136775
222809_x_at,-0.09857047744728856,0.9061318285056276,0.09857047744728856
1561778_at,-0.0979282393482619,0.9067139678046433,0.0979282393482619
212162_at,-0.09516003082097027,0.9092274184147976,0.09516003082097027
236901_at,-0.09514305926200241,0.9092428495524894,0.09514305926200241
1556244_s_at,0.08998291270324668,1.09415558738426,0.08998291270324668
1559394_a_at,-0.08773066285915194,0.9160075583583347,0.08773066285915194
234677_at,-0.08765639090562102,0.9160755945557024,0.08765639090562102
241762_at,0.08746886159918132,1.0914082792053768,0.08746886159918132
1562935_at,-0.08678194560131058,0.9168770029005704,0.08678194560131058
1553126_a_at,-0.0853014679860758,0.9182354240872505,0.0853014679860758
214577_at,-0.08379737136310439,0.9196175780737132,0.08379737136310439
234314_at,-0.08350308398935541,0.9198882497412916,0.08350308398935541
242320_at,0.08205878115528796,1.0855196160513483,0.08205878115528796
227959_at,-0.07998948956754796,0.923126048789628,0.07998948956754796
229677_at,0.07996537473825738,1.0832495592260716,0.07996537473825738
222264_at,0.07706926657425517,1.0801168897982878,0.07706926657425517
211921_x_at,-0.07706266256357548,0.92583183679244,0.07706266256357548
