gene,abs_coef,rank_abs_coef,importance_mean,rank_perm,rank_combined
227404_s_at,0.07643057304800974,22,0.0,157,89.5
227959_at,0.07998948956754796,17,0.0,175,96.0
224366_s_at,0.043252132734095124,179,0.0,23,101.0
227730_at,0.06938157226085903,37,0.0,184,110.5
222983_s_at,0.047485867521336926,133,0.0,93,113.0
225234_at,0.050736926606971176,103,0.0,126,114.5
228556_at,0.05739622054345134,72,0.0,165,118.5
224156_x_at,0.04295884545399007,183,0.0,62,122.5
227051_at,0.04850339995953372,127,0.0,144,135.5
226879_at,0.04611849200372686,141,0.0,150,145.5
226648_at,0.05005767174872566,110,0.0,189,149.5
225741_at,0.04944572701678236,116,0.0,196,156.0
224280_s_at,0.03589407348255151,286,0.0,26,156.0
225493_at,0.04947306683640718,115,0.0,206,160.5
228581_at,0.04446342958552569,163,0.0,164,163.5
227260_at,0.041691694158655215,198,0.0,134,166.0
219255_x_at,0.06440883918723812,48,0.0,286,167.0
224331_s_at,0.03445025056709177,310,0.0,25,167.5
227068_at,0.03976317978439811,227,0.0,128,177.5
224414_s_at,0.03247731245862553,351,0.0,18,184.5
